"행정구역별(읍면동)","시점",총인구 (명)
"부산광역시","2017",3416918
"부산광역시","2018",3395278
"부산광역시","2019",3372692
"부산광역시","2020",3349016
"부산광역시","2021",3324335
"서구","2017",106924
"서구","2018",107028
"서구","2019",105847
"서구","2020",105303
"서구","2021",104130
"동구","2017",86106
"동구","2018",84557
"동구","2019",85673
"동구","2020",87246
"동구","2021",86035
"영도구","2017",123531
"영도구","2018",120731
"영도구","2019",117959
"영도구","2020",113224
"영도구","2021",112834
"부산진구","2017",366492
"부산진구","2018",357723
"부산진구","2019",352390
"부산진구","2020",351403
"부산진구","2021",351201
"동래구","2017",261671
"동래구","2018",258386
"동래구","2019",260986
"동래구","2020",263345
"동래구","2021",259838
"남구","2017",275941
"남구","2018",282645
"남구","2019",278849
"남구","2020",269111
"남구","2021",264756
"북구","2017",296945
"북구","2018",291675
"북구","2019",285098
"북구","2020",280177
"북구","2021",279815
"해운대구","2017",399363
"해운대구","2018",396311
"해운대구","2019",392846
"해운대구","2020",389535
"해운대구","2021",386064
"사하구","2017",330293
"사하구","2018",326655
"사하구","2019",319828
"사하구","2020",312057
"사하구","2021",305790
"금정구","2017",246891
"금정구","2018",247971
"금정구","2019",244726
"금정구","2020",237219
"금정구","2021",233596
"강서구","2017",116702
"강서구","2018",121351
"강서구","2019",128809
"강서구","2020",136734
"강서구","2021",142110
"연제구","2017",201053
"연제구","2018",199887
"연제구","2019",203959
"연제구","2020",204947
"연제구","2021",201217
"수영구","2017",173059
"수영구","2018",170296
"수영구","2019",170414
"수영구","2020",171461
"수영구","2021",170720
"사상구","2017",231587
"사상구","2018",226961
"사상구","2019",222618
"사상구","2020",216350
"사상구","2021",211788
"기장군","2017",156561
"기장군","2018",160335
"기장군","2019",160732
"기장군","2020",169465
"기장군","2021",172902
